PURCHASED_DEVICE,DEVICE_VALUE,LAST_DEVICE_CHANGE,DATA_TRAFFIC_MONTH_1,DATA_TRAFFIC_MONTH_2,DATA_TRAFFIC_MONTH_3,DATA_TRAFFIC_MONTH_4,DATA_TRAFFIC_MONTH_5,DATA_TRAFFIC_MONTH_6,VOICE_TRAFFIC_MONTH_1,VOICE_TRAFFIC_MONTH_2,VOICE_TRAFFIC_MONTH_3,VOICE_TRAFFIC_MONTH_4,VOICE_TRAFFIC_MONTH_5,VOICE_TRAFFIC_MONTH_6,BILLING_MONTH_1,BILLING_MONTH_2,BILLING_MONTH_3,BILLING_MONTH_4,BILLING_MONTH_5,BILLING_MONTH_6,DEVICE_COST_MONTH_1,DEVICE_COST_MONTH_2,DEVICE_COST_MONTH_3,DEVICE_COST_MONTH_4,DEVICE_COST_MONTH_5,DEVICE_COST_MONTH_6,LINE_ACTIVATION_DATE,MONTHS_LAST_DEVICE,DURATION_LINE,PREVIOUS_DEVICE_MODEL,PREVIOUS_DEVICE_MANUF,PREVIOUS_DEVICE_BRAND
TGLG29462000_LG X410BCW SMARTPHONE PRETO PPB/P1769/07,393.0,20170501,,,,,,,,,,,,,41.0,41.0,41.0,41.0,41.0,41.0,12.0,12.0,12.0,12.0,12.0,12.0,20150625,23,46,Nokia 208,"Microsoft Mobile Oy, Nokia Corporation",Outros
TGLG29462000_LG X410BCW SMARTPHONE PRETO PPB/P1769/07,393.0,20160701,1730.9017,2669.5784,2669.5784,2568.26,2414.021,2432.177,338.10001,186.7,186.7,88.300003,106.8,211.39999,68.81,67.38,67.93,63.0,67.82,67.2,0.0,0.0,0.0,0.0,0.0,0.0,20140621,33,58,,,
TGLG29462000_LG X410BCW SMARTPHONE PRETO PPB/P1769/07,393.0,20160701,0.65722656,0.58984375,0.58984375,9.765625E-4,9.765625E-4,0.005859375,97.5,159.0,159.0,63.900002,117.2,230.3,63.0,63.0,63.0,63.0,63.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,20140621,33,58,Nokia 208,"Microsoft Mobile Oy, Nokia Corporation",Outros
TGLG29462000_LG X410BCW SMARTPHONE PRETO PPB/P1769/07,393.0,20160701,,,,,,2115.2021,,,,,,0.0,63.0,63.0,63.0,63.0,63.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,20140621,33,58,Nokia 208,"Microsoft Mobile Oy, Nokia Corporation",Outros
TGLG29462000_LG X410BCW SMARTPHONE PRETO PPB/P1769/07,393.0,20160701,0.0,0.0,0.0,0.0,0.23242188,0.0,326.79999,284.70001,284.70001,120.6,180.5,295.20001,63.55,63.0,63.0,63.0,63.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,20140621,33,58,Nokia 208,"Microsoft Mobile Oy, Nokia Corporation",Outros
TGLG29462000_LG X410BCW SMARTPHONE PRETO PPB/P1769/07,393.0,20160701,0.0,9.765625E-4,9.765625E-4,0.0,0.0,0.0,195.3,115.9,115.9,85.599998,133.10001,198.0,63.0,63.0,63.0,63.0,63.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,20140621,33,58,Moto G (2ª Geração),"Motorola Mobility LLC, a Lenovo Company",Motorola
TGLG29462000_LG X410BCW SMARTPHONE PRETO PPB/P1769/07,393.0,20160701,410.5491,343.42773,343.42773,524.47693,420.08432,132.33664,511.0,357.5,357.5,271.20001,416.39999,454.10001,128.68,118.96,97.65,111.32,106.93,110.77,0.0,0.0,0.0,0.0,0.0,0.0,20140621,33,58,LG L30 Dual,LG Electronics Inc.,LG
TGLG29462000_LG X410BCW SMARTPHONE PRETO PPB/P1769/07,393.0,20160701,0.0,0.0,0.0,0.0,0.0,0.0,565.70001,276.29999,276.29999,205.10001,278.5,387.5,117.0,117.0,117.0,117.0,117.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,20140621,33,58,Alcatel Pixi 3 3.5,TCL Communication Ltd,Outros
DGAP08263000_APPLE IPHONE XR 128GB PRETO,4425.0,20160701,0.0,0.0,0.0,0.0,0.0,0.0,87.300003,88.400002,88.400002,71.900002,77.599998,106.9,188.0,188.0,188.0,188.0,188.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,20140621,33,58,Nokia 225,"Microsoft Mobile Oy, Nokia Corporation",Outros
TGLG29462000_LG X410BCW SMARTPHONE PRETO PPB/P1769/07,393.0,20160701,1431.0458,719.198,719.198,260.38928,83.19207,300.44141,250.60001,83.900002,83.900002,80.900002,138.0,188.39999,93.0,93.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,20140621,33,58,LG L30 Dual,LG Electronics Inc.,LG
TGLG29462000_LG X410BCW SMARTPHONE PRETO PPB/P1769/07,393.0,20160701,177.71985,30.35129,30.35129,0.0,202.29434,96.962578,41.700001,24.4,24.4,15.5,163.8,58.5,120.76,108.62,111.66,114.51,116.37,102.56,0.0,0.0,0.0,0.0,0.0,0.0,20140621,33,58,LG L30 Dual,LG Electronics Inc.,LG
TGLG29462000_LG X410BCW SMARTPHONE PRETO PPB/P1769/07,393.0,20160701,0.0,0.0,0.0,9.765625E-4,0.0,0.0,649.09998,455.89999,455.89999,208.7,414.89999,443.89999,63.0,63.0,77.11,63.8,68.43,64.93,0.0,0.0,0.0,0.0,0.0,0.0,20140621,33,58,Nokia 208,"Microsoft Mobile Oy, Nokia Corporation",Outros
TGLG29462000_LG X410BCW SMARTPHONE PRETO PPB/P1769/07,393.0,20160701,398.71878,247.05711,247.05711,540.32617,367.11636,188.57149,833.29999,613.0,613.0,469.70001,642.59998,691.0,134.69,85.0,97.1,85.0,118.25,118.85,0.0,0.0,0.0,0.0,0.0,0.0,20140621,33,58,LG L30 Dual,LG Electronics Inc.,LG
TGLG29462000_LG X410BCW SMARTPHONE PRETO PPB/P1769/07,393.0,20160701,25.539999,654.82452,654.82452,600.43817,388.96957,439.76108,26.9,74.900002,74.900002,51.0,76.099998,105.3,67.71,65.99,70.89,63.0,90.13,66.92,0.0,0.0,0.0,0.0,0.0,0.0,20140621,33,58,Samsung Galaxy Tab E 7.0 (SM-T116BU),Samsung Korea,Samsung
TGLG29462000_LG X410BCW SMARTPHONE PRETO PPB/P1769/07,393.0,20160701,,,,,,,,,,,,,63.0,63.0,63.0,63.0,63.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,20140621,33,58,Nokia 208,"Microsoft Mobile Oy, Nokia Corporation",Outros
TGLG29462000_LG X410BCW SMARTPHONE PRETO PPB/P1769/07,393.0,20160701,268.99973,,,,,,136.8,,,,,,67.95,63.0,63.0,63.0,63.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,20140621,33,58,,,
TGLG29462000_LG X410BCW SMARTPHONE PRETO PPB/P1769/07,393.0,20160701,421.52832,1403.7898,1403.7898,2881.343,1548.9675,614.8158,16.1,18.799999,18.799999,45.099998,11.1,28.200001,63.0,63.0,63.88,64.14,63.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,20140621,33,58,Samsung Galaxy Tab E 7.0 (SM-T116BU),Samsung Korea,Samsung
TGLG29462000_LG X410BCW SMARTPHONE PRETO PPB/P1769/07,393.0,20160701,9.765625E-4,0.0,0.0,0.03515625,0.009765625,0.0,164.10001,72.5,72.5,91.5,72.5,118.0,123.06,117.0,117.0,117.0,117.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,20140621,33,58,Nokia 208,"Microsoft Mobile Oy, Nokia Corporation",Outros
TGLG29462000_LG X410BCW SMARTPHONE PRETO PPB/P1769/07,393.0,20160701,2703.6267,3020.8442,3020.8442,2488.5237,2787.2361,3879.8022,625.59998,578.29999,578.29999,445.89999,581.5,693.29999,162.0,161.55,241.04,210.86,224.51,192.08,0.0,0.0,0.0,0.0,0.0,0.0,20140621,33,58,Sony Xperia XA1 Ultra,Sony Mobile Communications,Outros
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,273.0,20170501,20052.252,8827.9912,8827.9912,7347.4976,6475.4429,3898.585,62.200001,81.800003,81.800003,91.5,111.9,0.0,113.14,113.14,113.14,113.14,113.14,113.14,0.62,0.62,0.62,0.62,0.62,0.62,20170526,23,23,Samsung Galaxy J7 Prime,Samsung Korea,Samsung
TGLG29462000_LG X410BCW SMARTPHONE PRETO PPB/P1769/07,295.0,,155.83839,0.068359375,0.068359375,690.78448,543.54681,819.07697,227.2,44.299999,44.299999,96.300003,132.10001,0.0,137.14,137.14,137.14,137.14,137.14,142.01,0.0,0.0,0.0,0.0,0.0,0.0,20150109,,51,,,
TGLG29462000_LG X410BCW SMARTPHONE PRETO PPB/P1769/07,295.0,20170101,0.0,9.765625E-4,9.765625E-4,9.765625E-4,0.0,0.0029296875,193.89999,192.60001,192.60001,408.10001,479.60001,0.0,137.14,137.14,137.14,139.47,137.14,137.14,0.0,0.0,20.0,20.0,20.0,20.0,20061116,27,149,Nokia 208,"Microsoft Mobile Oy, Nokia Corporation",Outros
TGLG29462000_LG X410BCW SMARTPHONE PRETO PPB/P1769/07,295.0,20170101,0.0,0.0,0.0,0.0048828125,9.765625E-4,,178.0,253.39999,253.39999,289.70001,329.5,,137.14,146.1,137.14,144.18,137.14,137.14,0.0,0.0,13.0,13.0,13.0,13.0,20061116,27,149,Nokia 208,"Microsoft Mobile Oy, Nokia Corporation",Outros
TGSA32062000_SAMSUNG J415G SMART PRETO PPB/PI107/04,873.0,20160801,4027.0256,3592.6931,3592.6931,3622.1904,5901.7026,5358.1563,1415.9,1153.8,1153.8,1133.5,1024.9,719.59998,595.49,615.58,490.52,463.37,426.59,366.43,0.0,0.0,0.0,0.0,0.0,0.0,20160815,32,32,iPhone 6,Apple Inc,Apple
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,273.0,20170201,13717.47,12257.663,12257.663,11761.399,9010.7158,8927.6416,96.300003,115.2,115.2,75.800003,147.5,2.0,150.99,150.99,150.99,150.99,150.99,150.99,0.0,0.0,0.0,0.0,0.0,0.0,20170224,26,26,,,
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,273.0,20170201,11676.75,7132.4185,7132.4185,12353.69,4320.0732,16361.63,22.299999,47.099998,47.099998,29.9,39.200001,0.0,150.99,150.99,150.99,150.99,150.99,177.47,0.0,0.0,0.0,0.0,0.0,0.0,20170224,26,26,,,
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,393.0,,2724.6436,2858.1672,2858.1672,,1808.7847,1680.7177,428.70001,232.39999,232.39999,,315.79999,156.10001,180.98,142.03,95.35,119.02,115.06,101.15,0.0,0.0,0.0,0.0,0.0,0.0,20001028,,222,,,
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,393.0,,919.23053,2624.0803,2624.0803,,421.68732,368.14426,164.5,65.0,65.0,,412.5,68.800003,117.18,117.3,117.12,117.16,117.1,117.14,0.0,0.0,0.0,0.0,0.0,0.0,20051031,,162,,,
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,561.0,,0.0,0.0,0.0,,0.0,0.0,12.3,15.6,15.6,,14.1,6.0,31.0,31.0,31.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,20051031,,162,my 85DTV,Lanxun Technology (Hong Kong) Limited,Outros
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,273.0,20170501,,734.92419,734.92419,6620.1372,1955.8041,4515.1797,,0.0,0.0,0.0,0.0,0.0,113.14,113.14,113.14,113.14,113.14,113.14,0.62,0.62,0.62,0.62,0.62,0.62,20170526,23,23,,,
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,273.0,20170501,1973.6578,248.45062,248.45062,830.43842,2701.7815,638.67426,24.200001,2.5,2.5,66.400002,34.299999,0.0,113.14,113.14,113.14,113.14,113.14,113.14,0.62,0.62,0.62,0.62,0.62,0.62,20170526,23,23,,,
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,273.0,20170501,5785.0967,5206.771,5206.771,2222.179,3586.3682,3793.8945,43.5,2.5999999,2.5999999,52.5,37.299999,0.0,113.14,113.69,113.14,113.14,113.14,113.14,0.62,0.62,0.62,0.62,0.62,0.62,20170526,23,23,,,
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,273.0,20170501,0.0,0.0,0.0,0.0,0.0,,10.4,17.299999,17.299999,10.8,13.7,,103.14,103.14,103.14,103.14,103.14,103.14,0.62,0.62,0.62,0.62,0.62,0.62,20170526,23,23,HL6528-2.8V,SierraWireless,Outros
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,273.0,20170501,21.373241,1415.5745,1415.5745,1996.927,820.37775,301.84302,42.5,14.0,14.0,52.400002,65.900002,0.0,113.14,120.86999999999999,113.14,113.14,117.42999999999999,113.14,0.62,0.62,0.62,0.62,0.62,0.62,20170526,23,23,,,
TGSA31564000_SAMSUNG J810M SMART PRETO PPB/PI324/14,1041.0,20181101,,,,,,,,,,,,,113.13999999999999,113.13999999999999,113.13999999999999,113.13999999999999,113.14,113.14,164.62,164.62,164.62,164.62,0.62,0.62,20170526,5,23,LG Optimus L7 II,LG Electronics Inc.,LG
TGSA31564000_SAMSUNG J810M SMART PRETO PPB/PI324/14,1041.0,20181101,0.0,0.0,0.0,0.0,0.0,0.0,63.099998,70.099998,70.099998,140.5,72.0,0.0,113.13999999999999,113.13999999999999,119.0,113.13999999999999,127.5,113.14,164.62,164.62,164.62,164.62,0.62,0.62,20170526,5,23,Samsung Galaxy J5,Samsung Korea,Samsung
TGSA31564000_SAMSUNG J810M SMART PRETO PPB/PI324/14,1041.0,20170501,18.918476,,,0.0,3.2099609,,0.0,,,0.5,7.4000001,,113.14,113.14,113.14,113.14,113.14,113.14,0.62,0.62,0.62,0.62,0.62,0.62,20170526,23,23,Samsung Galaxy J7 Prime,Samsung Korea,Samsung
TGSA31564000_SAMSUNG J810M SMART PRETO PPB/PI324/14,1041.0,20170501,,0.0,0.0,0.0,0.0,,,23.5,23.5,6.6999998,6.9000001,,113.14,113.14,113.14,113.14,172.85999999999999,113.14,0.62,0.62,0.62,0.62,0.62,0.62,20170526,23,23,Samsung Galaxy J7 Prime,Samsung Korea,Samsung
TGSA31564000_SAMSUNG J810M SMART PRETO PPB/PI324/14,1041.0,20170501,970.95654,806.58002,806.58002,1114.9301,654.55194,262.2016,0.0,0.0,0.0,0.0,0.0,0.0,113.14,113.14,113.14,113.14,113.14,113.14,0.62,0.62,0.62,0.62,0.62,0.62,20170526,23,23,iPhone 6,Apple Inc,Apple
TGSA31564000_SAMSUNG J810M SMART PRETO PPB/PI324/14,1041.0,20170501,7495.3423,9703.4697,9703.4697,7636.8857,6715.4639,6169.1152,127.0,77.800003,77.800003,96.300003,165.5,0.0,113.14,113.14,113.14,113.14,113.14,113.14,0.62,0.62,0.62,0.62,0.62,0.62,20170526,23,23,Samsung Galaxy J7 Prime,Samsung Korea,Samsung
TGSA31564000_SAMSUNG J810M SMART PRETO PPB/PI324/14,1041.0,20170501,1028.9875,2775.7048,2775.7048,1587.0747,248.47789,1959.3655,24.6,8.6000004,8.6000004,21.1,67.599998,0.0,113.14,113.14,113.14,117.53,113.14,113.14,0.62,0.62,0.62,0.62,0.62,0.62,20170526,23,23,,,
TGLG29462000_LG X410BCW SMARTPHONE PRETO PPB/P1769/07,295.0,20170101,1297.3278,2794.188,2794.188,2946.5774,2303.1887,3442.9092,735.40002,216.39999,216.39999,554.09998,651.79999,0.0,137.14,137.14,141.77,137.14,137.14,137.14,0.0,0.0,13.0,13.0,13.0,13.0,20061116,27,149,iPhone SE,Apple Inc,Apple
TGSA31564000_SAMSUNG J810M SMART PRETO PPB/PI324/14,1041.0,20170501,4143.3555,2284.3115,2284.3115,3183.6177,7747.0269,3182.936,7.5999999,14.6,14.6,5.3000002,1.7,0.0,113.14,113.14,113.14,113.14,113.14,113.14,0.62,0.62,0.62,0.62,0.62,0.62,20170526,23,23,,,
TGLG29462000_LG X410BCW SMARTPHONE PRETO PPB/P1769/07,283.0,,643.27881,800.07227,800.07227,8744.3701,13075.155,16575.824,188.8,143.8,143.8,391.29999,1448.1,22.700001,137.14,137.14,137.14,137.14,137.14,137.14,0.0,0.0,0.0,0.0,0.0,0.0,20070626,,142,LG K10,LG Electronics Inc.,LG
TGMO36912000_MOTOROLA XT1955 SMARTPHONE AZUL NAVY,801.0,20171001,151.6412,23.210041,23.210041,12.34375,23.277775,31.47715,250.10001,198.60001,198.60001,240.60001,176.60001,0.0,54.97,59.519999999999996,54.97,54.97,54.97,54.97,24.0,24.0,24.0,24.0,24.0,24.0,20141107,18,53,,,
TGMO36912000_MOTOROLA XT1955 SMARTPHONE AZUL NAVY,681.0,20150301,636.96741,3295.79,3295.79,507.39874,3638.8525,762.32886,502.29999,502.70001,502.70001,724.79999,1027.7,0.0,115.3,115.3,121.37,115.3,115.3,115.3,0.0,0.0,0.0,0.0,0.0,0.0,20000201,49,230,HO12005945,"Motorola Mobility LLC, a Lenovo Company",Outros
TGSA31964007_SAMSUNG J410G SMART PRETO PPB/PI324/14,625.0,20180401,6200.8276,12817.735,12817.735,9333.623,9036.4512,41924.594,731.70001,299.60001,299.60001,350.70001,244.5,525.40002,42.03,45.690000000000005,42.03000000000001,42.03000000000001,42.03000000000001,42.03000000000001,0.0,35.4,35.4,35.4,35.4,35.4,20170331,12,25,,,
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,393.0,20150201,2506.6235,1583.5105,1583.5105,1278.9824,3175.2458,551.63477,283.60001,262.79999,262.79999,358.60001,310.70001,0.0,103.14,103.14,104.0,103.62,103.98,103.14,0.0,0.0,0.0,0.0,0.0,0.0,20120327,50,85,iPhone 6S,Apple Inc,Apple
TGAL03462000_ALCATEL 5033J SMART PRETO,157.0,20170101,763.349,896.04681,896.04681,737.6413,1233.0421,809.49463,4.0,3.8,3.8,2.0,0.0,7.6999998,49.0,49.0,49.0,49.0,49.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,20110228,27,98,Moto G4 Play,"Motorola Mobility LLC, a Lenovo Company",Motorola
TGLG29462000_LG X410BCW SMARTPHONE PRETO PPB/P1769/07,393.0,20160701,1046.5984,453.25589,453.25589,37.061562,72.647263,1649.8469,46.5,37.0,37.0,47.200001,34.799999,146.10001,200.08,113.32,212.93,175.45,195.21,143.58,0.0,0.0,0.0,0.0,0.0,0.0,20140621,33,58,LG L30 Dual,LG Electronics Inc.,LG
TGLG29462000_LG X410BCW SMARTPHONE PRETO PPB/P1769/07,393.0,20160701,7.8066406,5.9589844,5.9589844,5.9941406,12.980938,0.0,796.5,675.5,675.5,342.10001,546.20001,524.0,231.69,173.59,192.6,121.51,184.72,172.43,0.0,0.0,0.0,0.0,0.0,0.0,20140621,33,58,,,
TGLG29462000_LG X410BCW SMARTPHONE PRETO PPB/P1769/07,393.0,20160701,0.0,0.0,0.0,0.0,0.060546875,0.03515625,187.0,206.0,206.0,95.0,171.2,209.0,82.8,71.27,73.48,65.66,90.98,71.12,0.0,0.0,0.0,0.0,0.0,0.0,20140621,33,58,LG L30 Dual,LG Electronics Inc.,LG
TGLG29462000_LG X410BCW SMARTPHONE PRETO PPB/P1769/07,393.0,20160701,0.0,0.0,0.0,0.0,0.0,0.0,54.900002,68.900002,68.900002,46.900002,95.900002,157.7,63.0,72.5,67.68,63.0,102.49,71.81,0.0,0.0,0.0,0.0,0.0,0.0,20140621,33,58,GT-B7300B,Samsung Korea,Outros
TGLG29462000_LG X410BCW SMARTPHONE PRETO PPB/P1769/07,393.0,20160701,18.527069,608.14075,608.14075,1100.2446,274.62585,0.0,142.7,111.0,111.0,96.199997,97.5,144.0,63.0,63.0,63.0,63.0,63.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,20140621,33,58,Alcatel Pixi 3 3.5,TCL Communication Ltd,Outros
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,273.0,20151001,205.57289,528.00244,528.00244,366.3107,111.55277,235.76973,4.4000001,0.0,0.0,1.0,4.8000002,0.0,99.99,101.15,99.99,99.99,99.99,99.99,0.0,0.0,0.0,0.0,0.0,0.0,20060430,42,156,Samsung Galaxy J1 2016,Samsung Korea,Samsung
TGSA31964007_SAMSUNG J410G SMART PRETO PPB/PI324/14,681.0,,8542.5801,9707.5508,9707.5508,7022.2041,11989.063,8966.4316,271.39999,297.5,297.5,453.60001,475.29999,375.5,100.61,100.9,93.82,103.19,102.78,106.67,0.0,0.0,0.0,0.0,0.0,0.0,20121028,,78,,,
TGSA31964007_SAMSUNG J410G SMART PRETO PPB/PI324/14,681.0,,799.63538,1223.9565,1223.9565,1020.7607,1090.7993,828.49377,566.70001,517.90002,517.90002,748.90002,700.79999,901.5,150.3,149.47,149.47,154.05,174.47,156.84,0.0,0.0,0.0,0.0,0.0,0.0,20121028,,78,iPhone 6,Apple Inc,Apple
TGSA31964007_SAMSUNG J410G SMART PRETO PPB/PI324/14,681.0,,27.430859,37.364258,37.364258,110.89328,180.96016,298.76831,0.0,0.0,0.0,0.0,0.0,0.0,53.58,53.58,53.58,53.58,53.58,38.25,0.0,0.0,0.0,0.0,0.0,0.0,20121028,,78,,,
TGSA31964007_SAMSUNG J410G SMART PRETO PPB/PI324/14,625.0,20150901,0.0,0.0,0.0,0.0,0.0,0.0,344.39999,157.5,157.5,285.60001,305.5,207.0,38.03,38.03,38.51,38.03,39.3,38.03,0.0,0.0,0.0,0.0,0.0,0.0,20170331,43,25,,,
TGMO36912000_MOTOROLA XT1955 SMARTPHONE AZUL NAVY,801.0,,1365.3069,423.96414,423.96414,231.50035,108.4689,0.0,147.39999,234.10001,234.10001,314.79999,303.10001,0.0,83.0,83.0,83.0,83.0,83.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,20170531,,23,Samsung Galaxy J5,Samsung Korea,Samsung
TGMO37012000_MOTOROLA XT1952 SMARTPHONE INDIGO,921.0,,87.949997,117.8075,117.8075,96.548592,0.0,0.0,0.0,3.0,3.0,2.5,3.8,0.0,81.73,81.73,81.73,83.4,81.73,84.78,0.0,0.0,0.0,0.0,0.0,0.0,20140623,,58,D012080945,"Motorola Mobility LLC, a Lenovo Company",Outros
TGSA31564000_SAMSUNG J810M SMART PRETO PPB/PI324/14,849.0,,0.0,2229.2322,2229.2322,1534.9261,3125.9705,1321.5983,7.8000002,6.6999998,6.6999998,41.400002,31.5,1.2,485.84,488.2,489.26,488.2,488.2,488.2,0.0,0.0,0.0,0.0,0.0,0.0,20150605,,46,Moto G (2ª Geração),"Motorola Mobility LLC, a Lenovo Company",Motorola
TGSA31564000_SAMSUNG J810M SMART PRETO PPB/PI324/14,44.0,,8360.7432,5316.9199,5316.9199,876.27466,2078.4243,373.09653,43.599998,47.799999,47.799999,66.800003,29.700001,70.400002,130.54,131.95,131.36,132.08,131.36,131.36,0.0,0.0,0.0,0.0,0.0,0.0,20150605,,46,Moto G4 Play,"Motorola Mobility LLC, a Lenovo Company",Motorola
DGAP069C3000_APPLE IPHONE 8 PLUS 64GB CINZA BASICO,,20150701,833.09253,240.27309,240.27309,261.1575,392.45346,226.16702,511.39999,426.70001,426.70001,596.40002,681.0,967.59998,197.89,226.26,228.18,209.17,169.07,185.09,0.0,0.0,0.0,0.0,0.0,0.0,20130723,45,69,iPhone 5S,Apple Inc,Apple
DGAP069C3000_APPLE IPHONE 8 PLUS 64GB CINZA BASICO,3225.0,20150701,5997.9663,2097.9226,2097.9226,3324.9829,4260.0078,2288.4646,84.199997,119.0,119.0,130.10001,98.400002,167.60001,165.59,165.59,165.59,210.91,165.84,165.59,0.0,0.0,0.0,0.0,0.0,0.0,20130630,45,70,,,
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,273.0,20161201,,,,,,,,,,,,,130.99,130.99,130.99,130.99,130.99,130.99,0.0,0.0,13.0,13.0,13.0,13.0,20161214,28,28,,,
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,273.0,20161201,2042.1321,6230.0229,6230.0229,4307.856,4681.6294,7100.6826,35.200001,48.599998,48.599998,44.0,42.5,30.799999,130.99,130.99,130.99,130.99,130.99,130.99,0.0,0.0,13.0,13.0,13.0,13.0,20161214,28,28,D012080945,"Motorola Mobility LLC, a Lenovo Company",Outros
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,273.0,20161201,,,,,,,,,,,,,130.99,130.99,130.99,130.99,130.99,130.99,0.0,0.0,0.62,0.62,0.62,0.62,20161214,28,28,,,
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,273.0,,11815.013,19617.172,19617.172,10887.522,8371.2588,12587.351,694.79999,385.39999,385.39999,287.39999,378.20001,460.5,135.33,158.02,102.38,108.3,127.43,157.22,0.0,0.0,0.0,0.0,0.0,0.0,20120424,,84,iPhone 6S,Apple Inc,Apple
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,393.0,20150601,422.8996,1700.9592,1700.9592,3279.7563,3318.9976,1004.733,76.0,49.900002,49.900002,35.900002,61.700001,0.0,103.14,103.14,103.14,103.14,103.14,103.14,0.0,0.0,0.0,0.0,0.0,0.0,20120327,46,85,,,
TGSA28562007_SAMSUNG J105 SMART PRETO  PPB/PI107/04,225.0,20140101,4223.1611,11653.669,11653.669,4977.9487,4453.1787,9285.3955,223.3,126.4,126.4,197.0,298.10001,0.0,115.3,115.78,115.3,120.76,115.3,115.3,0.0,0.0,0.0,0.0,0.0,0.0,20110103,63,99,iPhone 7,Apple Inc,Apple
TGSA28562007_SAMSUNG J105 SMART PRETO  PPB/PI107/04,225.0,20140101,3273.9761,1575.3936,1575.3936,3698.3086,4030.4495,2083.6912,248.7,141.5,141.5,548.09998,408.29999,0.0,115.3,115.3,235.27,115.3,115.3,115.3,0.0,0.0,0.0,0.0,0.0,0.0,20110103,63,99,iPhone 6S Plus,Apple Inc,Apple
TGSA28562007_SAMSUNG J105 SMART PRETO  PPB/PI107/04,225.0,20140101,9534.0117,1543.5034,1543.5034,1299.3167,692.72491,7490.6982,379.5,205.89999,205.89999,597.0,424.0,0.0,115.3,115.3,115.3,115.3,115.3,115.3,0.0,0.0,0.0,0.0,0.0,0.0,20110103,63,99,,,
TGSA31562000_SAMSUNG J810M SMART PRETO PPB/PI107/04,605.0,,11559.302,25345.018,25345.018,20078.225,16509.998,6550.5605,118.9,140.0,140.0,129.2,117.1,79.599998,190.99,449.53,189.61,189.61,189.61,189.61,0.0,0.0,0.0,0.0,0.0,0.0,20160511,,35,iPhone 6,Apple Inc,Apple
TGSA32162007_SAMSUNG J610G SMART PRETO PPB/PI107/04,615.0,,384.00754,222.36343,222.36343,374.72025,71.839691,36.914452,118.9,89.199997,89.199997,38.900002,51.200001,143.39999,83.63,81.62,81.62,81.62,81.62,81.62,0.0,0.0,0.0,0.0,0.0,0.0,20160503,,35,,,
DGAP067C2000_APPLE IPHONE 8 64GB CINZA PPB/PI643/10,2673.0,,2485.6362,4008.5037,4008.5037,3558.8813,6844.6372,5018.2202,134.89999,199.89999,199.89999,231.2,260.5,147.60001,117.56,100.64,103.37,102.41,102.74,105.15,0.0,0.0,0.0,0.0,0.0,0.0,20120731,,81,,,
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,393.0,20170801,4295.229,4361.0962,4361.0962,6926.001,10666.281,7838.5732,318.39999,298.60001,298.60001,174.5,141.60001,0.0,102.96,102.96,102.96,102.96,102.96,102.96,0.0,0.0,0.0,0.0,0.0,0.0,20170831,20,20,,,
